,beverage,yob,direct_correlation,indirect_correlation,same_correlation
535,soda,1950,0.35187430458781305,0.01814302178898055,True
536,soda,1951,0.17156643572100405,0.012003068556117566,True
537,soda,1952,0.3189668725842371,-0.09149941680967713,False
538,soda,1953,0.07945887904221766,-0.028348010002861124,False
539,soda,1954,0.2720403256149847,0.01903585957011637,True
540,soda,1955,0.20751034418624334,-0.012867888066460793,False
541,soda,1956,0.15144563353150878,0.10800220042556699,True
542,soda,1957,0.16909826895641522,0.09942685519000297,True
543,soda,1958,0.2218019196409844,0.016170197097999068,True
544,soda,1959,0.15619533827749846,0.17919825050960372,True
545,soda,1960,-0.006267917188613954,0.12238228113931135,False
546,soda,1961,-0.1006148613650234,0.058671909555566136,False
547,soda,1962,0.2895970902886797,0.17545962890458433,True
548,soda,1963,0.2308231881813311,0.09075516781798712,True
549,soda,1964,0.3536070129503274,0.12394250202924065,True
550,soda,1965,0.3799944488045344,0.09775094394664803,True
551,soda,1966,0.3111595414712133,0.05462134234957253,True
552,soda,1967,0.2276677438477871,0.07087121807988739,True
553,soda,1968,0.3232188700801149,-0.0310702956786872,False
554,soda,1969,0.3260068409041593,0.1796389283934194,True
555,soda,1970,0.403917463057024,0.18757291064981935,True
556,soda,1971,0.23219547220770284,0.1844101614185474,True
557,soda,1972,0.3313685109547259,0.1172070850482267,True
558,soda,1973,0.3391724385453288,0.14368310809825005,True
559,soda,1974,0.3408336587777093,0.1861969135388141,True
560,soda,1975,0.21596757120201093,0.19957048527040608,True
561,soda,1976,0.3542981997174328,0.20866663930661875,True
562,soda,1977,0.1810946782548882,0.17873324723126746,True
563,soda,1978,0.40725688910717145,0.06447472114303628,True
564,soda,1979,0.3469316335713599,0.11060903727010643,True
565,soda,1980,0.3334059008728911,0.1869160188396065,True
566,soda,1981,0.2899161680070492,0.11955220200430812,True
567,soda,1982,0.3853668418061907,0.06787861736640954,True
568,soda,1983,0.43456690521166397,0.056449153357963834,True
569,soda,1984,0.3940826436675838,0.0028771217401278304,True
570,soda,1985,0.32386635002470765,0.025375885472125527,True
571,soda,1986,0.5843181859521028,0.07386153954359218,True
572,soda,1987,0.3904465611264379,0.00921925371522082,True
573,soda,1988,0.4259897682878976,0.028339053523219214,True
574,soda,1989,0.3596854018727536,0.04280670101017912,True
575,soda,1990,0.4125772459437765,0.11035138166060672,True
576,soda,1991,0.29468257863682124,0.08193399701423312,True
577,soda,1992,0.4297298911288204,-0.0188742279224712,False
578,soda,1993,0.5184969689185646,0.06656597882283967,True
579,soda,1994,0.5798181575222056,0.021778696461213533,True
580,soda,1995,0.6344362480788798,0.1213245839084238,True
581,soda,1996,0.5269149659839697,0.06816817406941726,True
582,soda,1997,0.421197682022722,0.046754542755593265,True
583,soda,1998,0.6050125002143532,0.03200296146742008,True
584,soda,1999,0.6096628250554254,0.02778470704655896,True
585,soda,2000,0.3338896518775816,0.01461004584065851,True
