,country,yob,direct_correlation,indirect_correlation,same_correlation
985,Algeria,1996,0.6049925700633663,-0.043338166166787824,False
986,Algeria,1997,0.4054337897826991,-0.02297745100172236,False
987,Algeria,1998,0.4717627364170883,-0.01119921152680044,False
988,Algeria,1999,0.4063799982752936,-0.02973805589294783,False
989,Algeria,2000,0.3874841189771468,0.01045080186248193,True
990,Algeria,2001,0.5447746455225005,-0.06583017307876814,False
991,Algeria,2002,0.6647950503757243,-0.04851787633573626,False
992,Algeria,2003,0.4644363645209876,-0.07623893320863331,False
993,Algeria,2004,0.4699130635145309,-0.04588202717360654,False
994,Algeria,2005,0.6332804583186314,-0.0377272421512173,False
995,Algeria,2006,0.6012092658500184,-0.05561762825172616,False
996,Algeria,2007,0.5578872366048176,-0.0452581863139061,False
997,Algeria,2008,0.2051785271048738,-0.07300504926239179,False
998,Algeria,2009,0.43526058888346464,-0.07744175871878357,False
999,Algeria,2010,0.3751062463856321,-0.09602094160360856,False
1000,Algeria,2011,0.8693640334856113,-0.020930497525067142,False
1001,Algeria,2012,0.4594810573403113,-0.06369983641772015,False
1002,Algeria,2013,0.5692987771390731,-0.0293244942070273,False
1003,Algeria,2014,0.3128434806996885,-0.030392708449680093,False
1004,Algeria,2015,0.5838757444355909,-0.0010489541683893736,False
1005,Algeria,2016,0.32840549605016034,-0.007157716775325774,False
1006,Algeria,2017,0.20553564976715324,0.02413103464638097,True
1007,Algeria,2018,0.15791268865340505,-0.002961985578655554,False
1008,Algeria,2019,-0.0037669680990407594,0.02040376619573722,False
1009,Algeria,2020,-0.4209990048627731,-0.06168468100262185,True
1010,China,1920,-0.8669418259417413,-0.08558146679481064,True
1011,China,1921,-0.97014765551576,-0.07449778908247331,True
1012,China,1922,-1.4967639225824592,-0.09697508181920624,True
1013,China,1923,-1.2599149665570115,-0.08052590741908225,True
1014,China,1924,-0.9903989249523512,-0.07617090048556645,True
1015,China,1925,-1.0109272009491146,-0.07651397905547389,True
1016,China,1926,-1.3993962310769166,-0.08591893008418627,True
1017,China,1927,-0.9495337689620555,-0.07393323800862657,True
1018,China,1928,-0.7892265004186609,-0.06536896316467074,True
1019,China,1929,-0.9491277402316308,-0.0797676505189883,True
1020,China,1930,-0.5122507599623387,-0.06466818415515105,True
1021,China,1931,-0.4842093179951663,-0.056231702377277266,True
1022,China,1932,-0.7384299153184021,-0.0795619634235709,True
1023,China,1933,-0.5268425014954318,-0.06313086313685351,True
1024,China,1934,-0.5228978857120389,-0.07259974968224886,True
1025,China,1935,-0.8068066086703681,-0.07413925573072075,True
1026,China,1936,-0.6924360527257496,-0.07938448969359012,True
