,sport,occupation,direct_correlation,indirect_correlation,same_correlation
319,volleyball,server,0.2909451833891153,0.26476478403760745,True
320,volleyball,singer,-0.19485326295183555,0.25863474186034496,False
321,volleyball,soldier,-0.9078734701451384,-0.3210022190214715,True
322,volleyball,surgeon,-0.77282824467749,-0.4325949987202464,True
323,volleyball,teacher,-0.010349770508358776,0.027835113998049357,False
324,volleyball,therapist,-0.7400571649313654,0.2939540924782852,False
325,volleyball,translator,-0.6967528989664448,-0.0004814200097552245,True
326,volleyball,waiter,-0.047794312026691314,-0.2988406067805723,True
327,volleyball,waitress,0.3202523618028653,0.3346650289641009,True
328,volleyball,warrior,-1.828006032522301,-0.018405205906977924,True
329,volleyball,writer,-0.7814148548194191,-0.12698309811889066,True
330,table tennis,accountant,0.662824151887295,-0.10405070326328693,False
331,table tennis,architect,-0.09495020526011888,-0.13490143115611594,True
332,table tennis,artist,-0.9138357327821488,0.2524595718950165,False
333,table tennis,attorney,-0.7221708663531197,-0.20940594025822146,True
334,table tennis,banker,0.7975986398015942,-0.3651689434199758,False
335,table tennis,bartender,0.21442680410798431,-0.23361407841564816,False
336,table tennis,broadcaster,0.15533205392503072,-0.025648939067713462,False
337,table tennis,builder,0.5377041680530666,-0.4262376703789536,False
338,table tennis,businessman,0.24337925650297898,-0.3815898419707039,False
339,table tennis,butcher,0.7463162901310499,-0.3895448812895961,False
340,table tennis,captain,-0.5650816854135979,-0.43526507479891335,True
341,table tennis,carpenter,0.2679351449652697,-0.4681078256378228,False
342,table tennis,chef,0.9201796143254778,-0.2200960489801244,False
343,table tennis,coach,1.0610864303746652,-0.18625458045974697,False
344,table tennis,cook,0.8883019458591004,0.2157773776366216,True
345,table tennis,dancer,0.5649534469186066,0.3299401132102242,True
346,table tennis,designer,0.06444288696393459,0.19816730697803991,True
347,table tennis,doctor,-0.07819847461616054,-0.2142436895245944,True
348,table tennis,economist,0.5944376208696233,0.021964413970414768,True
349,table tennis,editor,-0.6092749075712364,0.044200974464052745,False
350,table tennis,engineer,0.27165892939445424,-0.3423426200639119,False
351,table tennis,farmer,0.7000071121627116,-0.3759500319741033,False
352,table tennis,filmmaker,-0.7397971535563648,-0.1520390734288596,True
353,table tennis,housekeeper,0.3014143015745914,0.4402776220362114,True
354,table tennis,journalist,-0.27614902239802513,0.07736239064022125,False
355,table tennis,judge,0.1436311343771691,-0.2625214001198239,False
356,table tennis,lawyer,-0.2874188124300585,-0.2596374933135381,True
357,table tennis,librarian,-0.16333870060744501,0.36481494541707066,False
358,table tennis,magician,-0.7916406521632814,-0.3891707043391411,True
359,table tennis,mechanic,0.15821948142239856,-0.4158613212824462,False
360,table tennis,musician,-0.6071206751265578,-0.3582681632133701,True
361,table tennis,nurse,0.2868772113206596,0.461649919777428,True
362,table tennis,painter,-0.5137559508741293,0.09032263316087452,False
363,table tennis,philosopher,-0.6404172906073907,-0.13788456392120144,True
